headline_year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
advice,1,1,4,2,3,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,3,1,1,5,4,1,2,3,4,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,2,1,1,1,0,0,0,0
adviser,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
aerospace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,3,0,2,0,0,0,0,0,0,0,1,1,0,0
affair,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,2,0,0,1,2,5,0,1,0,0,1,0,0,1,3,2,11,4,2,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
affairs,0,0,1,0,2,3,0,0,0,2,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,2,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
affect,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,1,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
affected,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,2,0,0,1,0,1,2,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0
afford,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
afghan,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3
afraid,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
