headline_year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
hijack,0,0,0,0,0,0,0,0,0,1,1,3,1,3,2,15,7,8,9,6,2,4,6,3,1,1,3,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hijacked,0,0,0,1,0,0,0,0,1,0,1,0,0,1,3,7,2,2,1,3,0,0,4,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
hijacker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,1,3,3,0,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hijackers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,7,2,5,9,3,1,1,1,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hike,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,6,9,5,7,11,4,8,6,8,3,0,0,0,0,2,0,2,2,2,0,1,2,1,0,3,0,1,0,0,7,2,1,2,3,5,3,1
hikes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,1,2,1,2,0,0,0,2,0,0,0,0,3,2,1,1,0,1,0,1,0,0,0,0,4,0,1,0,1,2,4,0
hill,1,2,0,1,1,0,0,0,1,0,1,0,1,2,1,2,2,0,1,2,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
hindu,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
hint,5,1,4,1,2,3,3,1,0,3,4,4,3,0,3,5,2,2,2,2,0,1,0,0,1,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hints,0,1,1,1,1,0,0,0,0,1,0,1,2,0,1,2,0,0,1,0,0,0,1,0,1,0,0,1,1,2,0,0,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
hire,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3,0,0,5
hiring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,1,1,1,1,5
historic,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,2,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,2,1,1,0,1,1,4,1,1,0,0,0,0,1,0,1,0,0,1,1,0,2,0
history,0,0,1,0,1,0,0,1,1,1,1,0,0,1,2,1,2,1,0,0,1,1,1,3,8,9,0,5,7,5,1,4,1,3,2,4,0,0,1,1,1,1,1,0,0,1,2,2,0,2,0,0,0,1,1
hit,14,6,12,15,6,13,10,3,16,11,8,14,13,22,21,18,15,10,14,13,7,5,7,6,13,9,12,13,10,11,9,8,24,5,4,2,3,4,6,6,8,11,5,9,6,3,7,9,13,3,6,6,13,9,14
hitch,2,0,2,2,2,1,1,1,0,2,2,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
hits,7,8,12,14,9,8,10,5,12,6,9,18,17,12,17,14,5,7,13,13,10,9,15,10,9,13,15,6,9,6,7,6,16,6,10,7,2,4,15,2,9,4,2,4,1,2,4,5,5,5,4,0,4,4,9
hitting,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0
hiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,3,0,4,1,0,1,3,4,1,0,2,0
hk,0,1,0,3,1,1,0,2,5,1,1,4,12,9,3,9,1,5,7,11,9,10,6,2,5,2,8,4,6,9,3,4,8,6,10,5,8,5,18,10,6,4,4,6,4,5,2,3,9,5,3,3,1,4,4
ho,0,0,0,0,2,0,0,0,0,0,1,2,4,11,6,0,1,0,0,1,0,1,6,0,1,0,3,1,2,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
hoax,1,1,2,1,0,0,0,2,1,0,7,1,0,1,5,8,4,3,4,3,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
hock,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hockey,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,3,0,1,1,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hold,10,15,14,7,9,5,7,13,9,7,6,4,7,6,10,18,2,6,5,9,6,7,6,7,3,5,6,5,4,5,5,4,8,6,5,2,3,2,2,4,2,4,0,0,1,2,2,0,0,2,0,1,0,2,1
holders,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,1,1,1,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
holding,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,1,0,1,1,0,0,0,1,0,1,1,3,1,0,0,0,1,0,0,0,0,0,0
holds,4,1,2,5,2,1,1,2,2,3,3,3,0,1,4,0,3,2,3,1,3,1,1,0,2,0,3,0,1,1,0,5,3,0,0,2,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
hole,1,1,1,1,1,0,4,0,1,0,2,2,0,0,2,0,1,3,3,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0
holiday,9,7,9,8,4,5,4,5,4,4,5,4,2,2,5,3,5,3,6,1,5,4,2,2,2,6,3,2,4,2,1,3,1,1,2,1,0,1,0,0,0,0,1,0,0,0,3,1,2,1,0,1,1,1,2
holidays,3,0,2,1,0,0,1,0,1,0,0,2,1,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1
holland,2,0,0,1,0,1,0,1,0,0,0,1,0,0,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hollywood,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0
holy,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
home,42,30,32,22,28,14,21,21,16,15,12,19,22,14,17,17,8,7,7,8,11,12,9,2,10,13,18,21,14,23,20,23,12,9,7,9,2,3,8,8,8,12,7,5,8,8,9,13,9,10,4,7,11,10,19
homeless,7,5,2,3,3,3,2,3,0,2,1,2,2,1,1,3,1,0,0,3,1,3,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
homes,7,5,2,3,7,2,1,6,7,5,5,0,5,5,3,4,2,3,2,5,2,1,3,1,2,7,5,5,2,2,7,0,2,0,4,1,1,2,2,2,3,3,1,1,2,1,1,2,3,0,0,1,3,4,5
hon,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,0,3,4,2,3,5,1,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
honeymoon,1,0,3,0,0,3,5,0,0,1,0,1,0,1,2,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hong,10,7,5,4,4,5,11,5,4,2,3,3,14,1,6,4,3,0,0,0,0,0,0,0,0,0,7,1,3,5,4,1,0,2,2,1,0,0,2,1,0,1,0,0,0,1,0,0,3,0,1,0,1,1,1
hongkong,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,2,3,5,1,2,4,2,1,1,0,4,1,2,1,1,1,2,2,1,0,1,2,1,2,0,0,0,0,0,0,0
honour,1,1,4,4,3,4,2,2,0,3,1,0,0,4,1,2,1,2,1,1,3,1,0,0,0,0,0,2,2,0,0,3,0,0,1,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0
honoured,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3
honours,2,4,2,5,2,3,4,3,2,2,1,4,2,4,2,3,2,1,1,1,2,0,2,0,1,1,2,2,1,1,1,0,1,1,1,4,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2
hope,10,7,6,4,1,1,5,6,4,2,7,7,3,9,7,3,1,0,3,1,1,2,4,6,3,5,4,1,8,1,4,4,3,1,3,1,1,1,0,0,1,0,1,0,0,0,4,3,3,1,0,2,0,2,4
hopeful,0,2,0,0,0,1,0,3,3,1,2,2,1,1,2,0,3,0,0,0,2,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
hopes,3,7,8,1,1,4,6,7,8,4,2,4,5,6,5,5,1,2,2,3,3,1,6,1,3,1,1,2,3,2,2,1,2,2,3,1,2,2,4,0,1,2,2,0,0,1,5,3,3,0,4,1,0,3,4
horror,0,0,3,0,0,3,1,2,2,5,10,6,7,10,12,8,5,4,3,6,2,4,5,1,1,0,1,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
horse,2,3,2,0,0,0,0,2,0,0,0,0,1,0,1,1,1,1,3,2,1,0,1,1,2,0,0,2,2,0,4,0,0,6,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horses,2,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
hospital,11,5,11,19,10,9,8,3,5,5,9,9,4,5,14,6,3,1,4,3,7,5,3,4,6,4,5,2,0,4,4,3,2,0,1,2,2,4,7,3,3,0,5,3,3,2,1,1,5,1,0,3,1,2,2
hospitals,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,2,0,2,0,0,3,0,0,4,2,4,2,0,0,0,1,0,0,3,0,0,8,0,2,0,2,1,6
host,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,2,1,1,1,4,1,1,0,0,0,1,2,0,1,1,1,0,2,2,2
hostage,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,1,1,3,9,5,2,2,0,1,1,1,2,0,0,1,2,0,2,0,0,2,0,1,0,0,1,0,0,0,4,1,1,0,4,0,0,0,2,0
hostages,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,7,0,1,1,3,5,5,6,2,3,3,2,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hostel,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot,4,2,1,2,0,0,1,1,1,2,2,1,2,3,9,2,8,1,1,2,0,4,3,2,2,0,1,1,4,4,4,1,0,5,3,0,4,1,0,1,0,1,0,3,3,3,1,4,5,1,1,2,2,5,5
hotel,11,6,4,0,4,3,5,1,3,3,4,5,4,3,5,12,10,9,6,13,8,7,4,4,2,5,7,2,1,5,6,10,8,2,2,3,1,0,3,1,1,3,0,0,0,0,2,2,1,2,0,0,2,3,5
hotels,4,0,0,1,0,0,0,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,1,0,1,0,2,1,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,3,0,0,0,1,1,2
hotline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,4,2,4,5,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
hour,8,11,2,4,3,6,5,3,5,9,4,4,5,4,14,7,6,6,6,7,4,3,4,3,2,2,5,7,3,2,0,0,2,3,0,1,0,0,2,0,2,0,1,2,0,3,0,1,1,0,1,0,1,1,1
hours,11,7,7,7,8,4,3,1,8,8,6,4,6,4,19,2,3,6,3,2,3,4,4,1,0,2,5,0,2,4,2,1,1,1,3,0,1,5,2,2,1,1,1,0,2,0,2,1,4,1,0,1,0,0,1
house,11,5,6,6,11,6,10,6,10,14,6,10,7,11,10,4,7,6,8,6,7,7,4,6,4,4,8,7,1,10,13,4,11,15,8,3,3,3,4,3,6,5,2,5,1,7,2,1,2,6,2,0,3,5,1
houses,3,4,1,3,1,3,2,0,1,1,2,0,1,1,0,0,1,1,0,4,0,1,2,0,1,0,1,0,0,1,5,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
housewife,1,0,2,2,2,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,5,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
housing,0,0,0,1,1,0,0,0,0,0,2,1,0,4,2,0,1,0,0,0,2,0,2,1,2,2,7,0,2,3,5,4,1,1,3,2,1,2,1,4,5,2,2,0,1,0,2,2,0,1,1,2,1,0,0
hq,2,0,3,2,2,1,1,0,0,1,0,1,2,3,1,6,1,2,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,2,1,0,0,1,0,1,0,0,2,0,0,0,0,1,3,0,1,0,0,0
hu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7,3,5,2,3,2,1,3,4,3,4,5,2,2,1,1,1,2,2,2,1,0,2,1,3
hua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,2,1,4,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,5,2,4,0,4,0,3,2,0,2,2,3,1,5
hubby,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0
hudc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,8,5,5,4,5,2,2,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
hug,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
huge,1,1,1,3,1,0,3,2,0,1,0,4,1,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,2,0,2,1
human,0,2,0,1,1,1,2,0,1,0,0,1,2,2,3,2,0,3,0,2,1,3,2,0,2,0,3,2,2,1,1,2,3,2,1,0,1,1,5,1,0,0,6,2,2,1,1,4,0,2,2,0,0,1,0
hundreds,2,2,2,2,1,0,1,1,1,0,0,1,2,0,2,2,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0
hunger,2,2,1,1,1,0,1,1,2,1,1,2,1,1,1,0,0,0,1,4,0,3,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
hungry,4,3,0,3,0,0,0,2,2,3,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
hunt,14,13,21,11,23,18,11,13,4,22,12,18,8,20,10,15,6,10,8,10,14,5,11,6,5,2,4,4,2,1,1,0,2,4,2,1,0,1,0,1,0,0,0,0,0,1,0,2,4,2,4,1,1,1,4
hunters,4,0,4,3,0,1,0,0,0,3,0,2,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hunting,1,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
hurt,41,35,28,25,23,20,19,10,9,15,14,11,17,11,15,33,15,24,17,28,29,22,26,12,5,10,21,4,2,3,7,5,3,6,1,2,1,3,3,1,2,5,1,2,2,6,2,3,1,1,0,0,1,1,1
hurts,1,2,3,1,1,0,0,1,0,0,0,1,0,0,2,2,1,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
husband,1,4,4,4,5,1,0,3,3,0,0,1,0,0,2,3,2,2,1,0,2,3,0,2,1,3,1,0,0,4,1,1,0,3,0,0,2,1,0,1,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0
husbands,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
hush,4,2,6,6,2,2,2,0,2,1,2,2,4,9,0,4,4,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hussein,0,0,2,5,2,0,2,3,1,0,0,0,1,1,7,3,4,0,3,3,1,18,8,7,3,1,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hut,1,1,1,0,1,0,2,0,0,2,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ice,3,0,1,1,1,0,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
id,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0
idea,0,1,1,0,1,3,2,2,0,0,1,0,1,0,2,0,1,1,0,0,0,1,1,2,1,1,1,1,0,2,1,0,2,4,4,4,1,0,3,3,4,4,0,0,1,2,0,1,1,1,0,0,2,0,0
ideal,0,3,0,2,1,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ideas,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2,3,0,1,3,3,1,2,2,2,3,2,2,0,0,0,1,2,1,0,5,1,2,1,3,2,3,0,1,1,1
identified,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0
identity,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,2,1,1,0,1,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1
idle,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ignore,3,2,1,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
ii,3,0,2,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0,4,0,1,2,0,4,1,0,0,0,0,0,1,0,1,3,0,0,0,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
ike,9,12,8,7,7,12,0,1,0,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ill,20,8,9,10,9,4,4,11,6,8,4,12,8,8,12,2,1,3,2,4,2,7,5,5,4,2,7,3,1,3,1,3,4,2,1,1,0,2,0,1,1,2,2,0,1,1,3,1,1,2,0,4,0,5,1
illegal,1,0,0,1,1,2,1,2,0,3,1,0,1,1,1,2,0,1,1,1,2,3,2,1,0,0,1,6,0,2,0,1,1,1,16,2,1,3,3,2,1,3,0,2,1,2,1,2,3,1,2,3,0,2,6
illness,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,2,1,0
im,8,5,4,4,3,2,1,2,6,7,3,4,3,4,5,3,2,1,2,2,2,2,0,0,2,2,4,1,2,1,1,2,4,1,3,1,2,1,4,0,0,1,0,2,2,4,4,0,0,0,1,1,0,2,1
image,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,3,0,3,5,1,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,2,2,1,0,0,0,0,0
imf,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,2,8,3,2,1,1,0,0,0,5,0,0,2
immediate,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,1,1,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
immigrants,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3
impact,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,3,0,1,1,3,1,1,0,2,1,5,2,0,0,0,0,1,1,0,1,0,0,2,1,0
import,0,1,1,2,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,2,1,0,1,2,0,1,2,0,0,1,1,0,1,2,1,1,2,0,2,1,0,0,0,1,0,0,0,0,1
importance,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
important,2,0,0,0,1,0,1,2,0,2,1,0,1,1,1,0,0,0,0,1,0,0,1,2,0,0,2,1,0,3,0,2,2,2,2,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
imports,1,1,1,5,3,1,1,1,1,1,2,0,0,0,0,1,1,0,0,3,0,1,0,0,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,1,0,0,0,0,1,0,0
improve,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,1,0,2,1,1,1,2,1,0,0,0,0,0,1,0,0,0,2,0,2,2,2,1,0,0,1,0,0,1,0,1,3,1,0,0
improving,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
incentives,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,4,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
incident,1,0,2,2,0,1,1,2,0,0,1,1,0,1,5,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
income,1,1,4,2,0,0,0,0,1,0,0,0,0,1,2,0,0,1,3,0,0,0,0,0,2,4,4,0,2,2,3,1,0,0,0,1,2,4,4,5,1,2,2,0,0,1,1,0,0,2,0,3,3,3,1
increase,1,2,0,3,1,1,0,0,2,0,0,0,2,1,1,2,0,0,1,2,1,0,0,0,2,0,1,1,0,2,4,3,1,1,4,1,1,1,0,4,1,2,1,0,0,1,1,0,0,0,0,0,2,1,0
increased,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
increases,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,4,0,0,1,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1
independence,2,1,1,0,0,1,1,0,2,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
