"year","name","value"
1994,"Lee",2.24658624199946
1994,"people",2.19978236195781
1994,"National",2.16935983993073
1994,"Times",2.15531867591823
1994,"months",2.10734469887554
1994,"Deaths",2.08862314685887
1994,"World",2.05469033382867
1994,"ST",2.03713887881305
1994,"Act",2.03245849080889
1994,"set",1.98682470776827
1994,"Dec",1.96810315575161
1994,"month",1.96342276774745
1994,"Est",1.95757228274224
1994,"market",1.91076840270058
1994,"shares",1.90023752969121
1994,"Spore",1.88736646267976
1994,"Malaysian",1.87215520166622
1994,"Sep",1.8604542316558
1994,"Hongkong",1.85811403765372
1994,"Ltd",1.85343364964956
1994,"week",1.85109345564747
1994,"Malaysia",1.80077928460269
1994,"company",1.7925886055954
1994,"made",1.77971753858395
1994,"Condolences",1.76099598656729
1994,"foreign",1.76099598656729
1994,"family",1.73525385254438
1994,"SINGAPORE",1.70834162152042
1994,"Asia",1.6849396814996
1994,"Lim",1.66270783847981
1994,"take",1.65802745047564
1994,"world",1.64749657746627
1994,"Departed",1.64398628646315
1994,"group",1.64398628646315
1994,"day",1.63813580145794
1994,"home",1.62058434644232
1994,"make",1.60537308542878
1994,"prices",1.59250201841733
1994,"Dr",1.55271872038192
1994,"Road",1.54452804137463
1994,"says",1.54452804137463
1994,"help",1.53867755636942
1994,"team",1.5351672653663
1994,"good",1.53282707136422
1994,"Australian",1.52463639235693
1994,"Finance",1.52346629535588
1994,"United",1.5211261013538
1994,"man",1.51410551934755
1994,"Sunday",1.50942513134339
1994,"IN",1.50240454933714
1994,"Mar",1.49655406433193
1994,"Asian",1.4813428033184
1994,"Japanese",1.4813428033184
1994,"work",1.47783251231527
1994,"get",1.47315212431111
1994,"business",1.45911096029861
1994,"May",1.42868843827153
1994,"back",1.4193276622632
1994,"Bank",1.40294630424862
1994,"Straits",1.39358552824029
1994,"government",1.38422475223196
1994,"soccer",1.37369387922259
1994,"students",1.33976106619239
1994,"second",1.33859096919135
1994,"Association",1.3374208721903
1994,"found",1.33391058118718
1994,"way",1.31986941717468
1994,"public",1.31869932017364
1994,"Friday",1.3175292231726
1994,"unch",1.31518902917052
1994,"Properties",1.31050864116635
1994,"Singapores",1.30582825316219
1994,"police",1.3034880591601
1994,"Memoriam",1.30114786515802
1994,"many",1.2976375741549
1994,"today",1.29646747715386
1994,"go",1.28827679814657
1994,"night",1.27891602213824
1994,"held",1.27423563413407
1994,"International",1.27072534313095
1994,"dollar",1.25434398511637
1994,"Acknowledgements",1.25317388811532
1994,"KUALA",1.24381311210699
1994,"Industrials",1.2356224330997
1994,"Saturday",1.22626165709137
1994,"Wed",1.21924107508512
1994,"LUMPUR",1.21222049307888
1994,"Hotels",1.21105039607783
1994,"top",1.20988029907679
1994,"On",1.19349894106221
1994,"Jakarta",1.19115874706013
1994,"Oct",1.18881855305805
1994,"Foreign",1.18413816505388
1994,"gm",1.17126709804243
1994,"children",1.17126709804243
1994,"companies",1.16424651603618
1994,"OF",1.16307641903514
1994,"part",1.15605583702889
1994,"reports",1.15371564302681
1994,"Jun",1.15137544902472
1994,"Prime",1.14903525502264
1994,"Japan",1.14552496401952
1994,"recent",1.13967447901431
1994,"told",1.13265389700806
1994,"local",1.12563331500181
1994,"Seng",1.12446321800077
1994,"Total",1.12446321800077
1994,"members",1.12095292699765
1994,"called",1.11978282999661
1994,"system",1.0998911809789
1994,"win",1.09755098697682
1994,"South",1.09287059897265
1994,"Aug",1.08936030796953
1994,"American",1.0799995319612
1994,"life",1.07765933795912
1994,"currency",1.07648924095808
1994,"Monday",1.05659759194037
1994,"right",1.05542749493933
1994,"HK",1.05425739793829
1994,"July",1.04957700993412
1994,"Day",1.04489662192996
1994,"British",1.03553584592163
1994,"low",1.03553584592163
1994,"former",1.03553584592163
1994,"City",1.03436574892059
1994,"League",1.03319565191954
1994,"report",1.02968536091642
1994,"June",1.02968536091642
1994,"used",1.01915448790705
1994,"service",1.01798439090601
1994,"days",1.00862361489768
1994,"Company",1.00745351789663
1994,"left",1.00628342089559
1994,"court",1.00511332389455
1994,"men",1.00160303289143
1994,"match",0.998092741888303
1994,"trade",0.998092741888303
1994,"Thursday",0.996922644887261
1994,"Goh",0.994582450885178
1994,"Yeo",0.989902062881013
1994,"director",0.984051577875806
1994,"use",0.984051577875806
1994,"Tuesday",0.981711383873723
1994,"friends",0.981711383873723
1994,"behind",0.980541286872682
1994,"show",0.97937118987164
1994,"DBS",0.978201092870599
1994,"reported",0.968840316862268
1994,"Nov",0.967670219861226
1994,"Composite",0.962989831857061
1994,"TOP",0.960649637854978
1994,"national",0.958309443852896
1994,"Group",0.955969249850813
1994,"States",0.95362905584873
1994,"Wednesday",0.95362905584873
1994,"Government",0.951288861846647
1994,"Chan",0.948948667844564
1994,"Kuala",0.94543837684144
1994,"Datuk",0.94543837684144
1994,"final",0.944268279840399
1994,"Thurs",0.941928085838316
1994,"share",0.940757988837275
1994,"won",0.940757988837275
1994,"play",0.938417794835192
1994,"car",0.93724769783415
1994,"plans",0.934907503832068
1994,"Singaporeans",0.933737406831026
1994,"BT",0.925546727823736
1994,"MTH",0.920866339819571
1994,"say",0.91969624281853
1994,"old",0.916185951815406
1995,"gt",12.1833396293371
1995,"Singapore",11.162242293119
1995,"lt",8.93116750804171
1995,"By",8.78120814588413
1995,"yesterday",8.13329212312694
1995,"said",7.7738475451309
1995,"In",5.8083496457067
1995,"Mr",5.42143159678102
1995,"last",5.05397392309718
1995,"XXXXX",4.79297594926566
1995,"new",4.66018750643909
1995,"year",4.49420195290589
1995,"US",4.0111267557265
1995,"years",3.59673523587119
1995,"first",3.5223279187701
1995,"Tan",3.30711906315464
1995,"Minister",3.24873793742917
1995,"New",2.55159861258972
1995,"time",2.49321748686425
1995,"cent",2.47490183957782
1995,"next",2.41881016976316
1995,"Chinese",2.37759996336871
1995,"China",2.3695868676809
1995,"Lee",2.17956202708426
1995,"National",2.14979910024383
1995,"Low",2.12003617340339
1995,"people",2.03761576061449
1995,"Deaths",2.00670810581865
1995,"set",1.97122153920121
1995,"This",1.93459024462836
1995,"month",1.90940622960953
1995,"Spore",1.82011744908822
1995,"High",1.81439380931122
1995,"Condolences",1.8018018018018
1995,"MM",1.74914431585334
