"wordCol","yearCol","countCol"
"alive",1955,2
"forced",1955,1
"strength",1955,1
"genuine",1955,1
"captal",1955,1
"trikes",1955,1
"uncouth",1955,1
"blacked",1955,1
"brandos",1955,1
"lumpur",1955,1
"forces",1955,4
"hum",1955,1
"curfew",1955,5
"rides",1955,1
"buns",1955,1
"spencer",1955,1
"timah",1955,1
"boxcar",1955,1
"dial",1955,2
"wells",1955,2
"germany",1955,1
"letter",1955,6
"claims",1955,3
"exercises",1955,1
"drought",1955,3
"germans",1955,1
"maria",1955,1
"dummy",1955,1
"singer",1955,4
"don",1955,1
"hides",1955,1
"pengsoon",1955,1
"fitter",1955,1
"elections",1955,2
"professor",1955,1
"camp",1955,9
"rotary",1955,1
"yours",1955,2
"leaflet",1955,1
"swamp",1955,1
"itke",1955,1
"sun",1955,9
"voting",1955,2
"er",1955,1
"poisonous",1955,1
"came",1955,6
"mcneil",1955,1
"merchant",1955,1
"gambas",1955,1
"bomb",1955,9
"pope",1955,4
"penang",1955,6
"meetings",1955,1
"queen",1955,15
"tempter",1955,1
"penanc",1955,1
"fleming",1955,2
"treaties",1955,1
"attempts",1955,1
"radio",1955,5
"liberty",1955,1
"nephew",1955,1
"sags",1955,1
"nannys",1955,1
"toast",1955,1
"judges",1955,1
"busy",1955,3
"ment",1955,1
"menu",1955,1
"explain",1955,1
"such",1955,1
"cupid",1955,1
"sugar",1955,2
"bush",1955,2
"stabbing",1955,3
"folks",1955,1
"rice",1955,7
"jailed",1955,6
"rica",1955,3
"faures",1955,2
"exports",1955,1
"waltz",1955,1
"asians",1955,1
"wers",1955,1
"toll",1955,5
"watch",1955,4
"television",1955,1
"cardinals",1955,1
"da",1955,1
"ultimatum",1955,1
"haunted",1955,1
"carmen",1955,1
"new",1955,82
"report",1955,5
"knocks",1955,1
"happiest",1955,1
"dr",1955,2
"sabrina",1955,1
"chous",1955,2
"earl",1955,1
"angers",1955,3
"bar",1955,5
"blast",1955,10
"proposes",1955,1
"dauphin",1955,1
"hello",1955,1
"twice",1955,3
"avenged",1955,1
"disney",1955,1
"shots",1955,1
"rival",1955,1
"ban",1955,17
"bao",1955,2
"shocks",1955,1
"steal",1955,1
"koh",1955,3
"newspaper",1955,1
"decides",1955,5
"swept",1955,2
"padi",1955,3
"liquor",1955,1
"resist",1955,1
"goodnight",1955,1
"full",1955,3
"result",1955,1
"fail",1955,6
"ronald",1955,1
"resigned",1955,1
"best",1955,6
"sinks",1955,4
"brazil",1955,1
"voyage",1955,3
"said",1955,3
"runs",1955,2
"sail",1955,7
"stamps",1955,3
"score",1955,5
"ira",1955,1
"adnan",1955,1
"caves",1955,3
"pirate",1955,3
"sarawak",1955,1
"vows",1955,2
"fijians",1955,7
"metal",1955,1
"boss",1955,19
"fridge",1955,1
"flexia",1955,1
"clues",1955,1
"news",1955,7
"hundreds",1955,2
"busmen",1955,14
"blasted",1955,1
"pity",1955,1
"edens",1955,1
"accident",1955,4
"deepavali",1955,1
"swoops",1955,1
"casberras",1955,1
"met",1955,1
"venoms",1955,1
"ill",1955,20
"juniors",1955,1
"games",1955,1
"planned",1955,1
"studio",1955,1
"clenched",1955,1
"asked",1955,1
"mallaig",1955,1
"rehash",1955,1
"tough",1955,3
"spear",1955,1
"esit",1955,1
"royal",1955,14
"vain",1955,1
