"word"	"category"
"help"	"events "
"Hie"	"remove"
"High"	"government"
"high"	"events "
"higher"	"events "
"hit"	"events "
"Hitam"	"personplace"
"Hkong"	"personplace"
"Hnt"	"remove"
"Hock"	"personplace"
"hockey"	"events "
"Hockey"	"events "
"Holdings"	"business"
"Hollywood"	"personplace"
"Holy"	"events "
"Home"	"government"
"home"	"events "
"homeward"	"events "
"Hon"	"government"
"Honble"	"government"
"Hong"	"personplace"
"Hongkong"	"personplace"
"Honor"	"government"
"Honorable"	"government"
"horses"	"events "
"Hotel"	"events "
"Hour"	"events "
"hour"	"events "
"hours"	"events "
"house"	"events "
"House"	"government"
"Howard"	"personplace"
"Hrit"	"remove"
"hundred"	"events "
"Hurst"	"personplace"
"husband"	"events "
"Hwee"	"personplace"
"Ibe"	"remove"
"ibe"	"remove"
"Ihe"	"remove"
"ihe"	"remove"
"iii"	"remove"
"ili"	"remove"
"ill"	"events "
"Imperial"	"government"
"importance"	"events "
"imports"	"business"
"Imports"	"business"
"Inche"	"government"
"Index"	"business"
"India"	"personplace"
"Indian"	"personplace"
"Indonesia"	"personplace"
"Indonesian"	"personplace"
"industrial"	"business"
"industry"	"business"
"information"	"events "
"ing"	"remove"
"Inner"	"personplace"
"innings"	"events "
"inquest"	"events "
"inside"	"events "
"inst"	"remove"
"instant"	"events "
"Institute"	"personplace"
"Int"	"remove"
"Intelligence"	"business"
"intelligence"	"business"
"intending"	"events "
"interest"	"events "
"interesting"	"events "
"International"	"government"
"Internet"	"events "
"investment"	"business"
"invited"	"events "
"ion"	"remove"
"Ipoh"	"personplace"
"Iraq"	"personplace"
"Iraqi"	"personplace"
"issue"	"events "
"issued"	"events "
"Ist"	"remove"
"Italian"	"personplace"
"items"	"events "
"itr"	"remove"
"jailed"	"events "
"Jakarta"	"personplace"
"James"	"personplace"
"Japan"	"personplace"
"Japanese"	"government"
"Jati"	"business"
"Java"	"personplace"
"Jenkins"	"personplace"
"job"	"events "
"Jobs"	"business"
"John"	"personplace"
"Johnson"	"personplace"
"Johor"	"personplace"
"Johore"	"personplace"
"Jones"	"business"
"Joseph"	"personplace"
"Journal"	"events "
"journalist"	"events "
"journals"	"business"
